Plot,Treatment,Treat-Code,Serpentine,Subplot,Burn,SubID
5,Water,W,S,A,Y,a
5,Water,W,S,B,Y,b
15,Water,W,S,A,Y,c
15,Water,W,S,B,Y,d
17,Water,W,S,A,Y,e
17,Water,W,S,B,Y,f
18,Water Control,C,S,A,Y,g
18,Water Control,C,S,B,Y,h
19,Water,W,S,A,Y,i
19,Water,W,S,B,Y,j
23,Water,W,S,A,N,k
23,Water,W,S,B,N,l
29,Water,W,S,A,N,m
29,Water,W,S,B,N,n
30,Water Control,C,S,A,N,o
30,Water Control,C,S,B,N,p
37,Water,W,S,A,N,q
37,Water,W,S,B,N,r
49,Water,W,S,A,N,s
49,Water,W,S,B,N,t
50,Water Control,C,S,A,N,u
50,Water Control,C,S,B,N,v
55,Water,W,S,A,N,w
55,Water,W,S,B,N,x
56,Water Control,C,S,A,N,y
56,Water Control,C,S,B,N,z
59,Water,W,S,A,N,aa
59,Water,W,S,B,N,bb
81,Drought,D,S,A,Y,cc
81,Drought,D,S,B,Y,dd
82,Drought Control,C,S,A,Y,ee
82,Drought Control,C,S,B,Y,ff
83,Drought,D,S,A,Y,gg
83,Drought,D,S,B,Y,hh
84,Drought Control,C,S,A,Y,ii
84,Drought Control,C,S,B,Y,jj
85,Drought,D,S,A,Y,kk
85,Drought,D,S,B,Y,ll
86,Drought Control,C,S,A,Y,mm
86,Drought Control,C,S,B,Y,nn
87,Drought,D,S,A,Y,oo
87,Drought,D,S,B,Y,pp
89,Drought,D,S,A,Y,qq
89,Drought,D,S,B,Y,rr
91,Drought,D,S,A,N,ss
91,Drought,D,S,B,N,tt
92,Drought Control,C,S,A,N,uu
92,Drought Control,C,S,B,N,vv
93,Drought,D,S,A,N,ww
93,Drought,D,S,B,N,xx
95,Drought,D,S,A,N,yy
95,Drought,D,S,B,N,zz
96,Drought Control,C,S,A,N,aaa
96,Drought Control,C,S,B,N,bbb
97,Drought,D,S,A,N,ccc
97,Drought,D,S,B,N,ddd
98,Drought Control,C,S,A,N,eee
98,Drought Control,C,S,B,N,fff
99,Drought,D,S,A,N,ggg
99,Drought,D,S,B,N,hhh
