"Year","Treat.Code","Plot","Subplot","Species","germ.tot","germ.proj","trt.mort","pst.mort","tot.mort","viable"
2017,"W",5,"Grass","Agoseris heterophylla",83,15,0,0,0,94
2017,"W",5,"Grass","Calycadenia pauciflora",9,10,0,3,3,31
2017,"W",5,"Grass","Clarkia purpurea",11,12,3,5,8,30
2017,"W",5,"Grass","Hemizonia congesta",32,15,1,2,3,32
2017,"W",5,"Grass","Lasthenia californica",44,15,0,0,0,100
2017,"W",5,"Grass","Plantago erecta",75,15,1,1,2,99
2017,"W",5,"No Grass","Agoseris heterophylla",60,15,0,0,0,94
2017,"W",5,"No Grass","Calycadenia pauciflora",12,13,0,7,7,31
2017,"W",5,"No Grass","Clarkia purpurea",21,17,2,3,5,30
2017,"W",5,"No Grass","Hemizonia congesta",8,15,0,10,10,32
2017,"W",5,"No Grass","Lasthenia californica",50,16,1,1,2,100
2017,"W",5,"No Grass","Plantago erecta",65,16,1,0,1,99
2017,"W",5,"Thatch","Agoseris heterophylla",67,15,1,0,1,94
2017,"W",5,"Thatch","Calycadenia pauciflora",11,12,0,11,11,31
2017,"W",5,"Thatch","Hemizonia congesta",16,15,5,10,15,32
2017,"W",5,"Thatch","Lasthenia californica",15,15,2,1,3,100
2017,"W",5,"Thatch","Plantago erecta",42,15,0,1,1,99
2017,"W",5,"Thatch","Clarkia purpurea",12,13,2,10,12,30
2017,"W",15,"No Grass","Lasthenia californica",30,15,0,0,0,100
2017,"W",15,"Thatch","Plantago erecta",45,16,1,0,1,99
2017,"W",15,"Grass","Hemizonia congesta",10,16,1,5,6,32
2017,"W",15,"Thatch","Lasthenia californica",26,16,1,3,4,100
2017,"W",15,"Thatch","Agoseris heterophylla",16,18,3,4,7,94
2017,"W",15,"Grass","Lasthenia californica",78,17,2,0,2,100
2017,"W",15,"No Grass","Plantago erecta",89,15,0,0,0,99
2017,"W",15,"No Grass","Agoseris heterophylla",74,15,0,0,0,94
2017,"W",15,"Thatch","Clarkia purpurea",17,17,2,1,3,30
2017,"W",15,"No Grass","Calycadenia pauciflora",11,11,0,2,2,31
2017,"W",15,"Grass","Agoseris heterophylla",77,15,0,2,2,94
2017,"W",15,"No Grass","Hemizonia congesta",15,15,0,3,3,32
2017,"W",15,"Grass","Calycadenia pauciflora",21,15,0,0,0,31
2017,"W",15,"Grass","Plantago erecta",89,15,0,1,1,99
2017,"W",15,"Thatch","Calycadenia pauciflora",13,13,4,4,8,31
2017,"W",15,"Grass","Clarkia purpurea",9,11,0,2,2,30
2017,"W",15,"No Grass","Clarkia purpurea",30,16,1,1,2,30
2017,"W",15,"Thatch","Hemizonia congesta",8,10,1,2,3,32
2017,"W",17,"Grass","Plantago erecta",45,15,0,0,0,99
2017,"W",17,"Grass","Lasthenia californica",54,15,0,0,0,100
2017,"W",17,"No Grass","Clarkia purpurea",11,14,0,9,9,30
2017,"W",17,"Thatch","Plantago erecta",48,15,0,0,0,99
2017,"W",17,"Grass","Calycadenia pauciflora",10,10,2,7,9,31
2017,"W",17,"No Grass","Lasthenia californica",99,15,0,1,1,100
2017,"W",17,"Thatch","Calycadenia pauciflora",9,9,3,6,9,31
2017,"W",17,"No Grass","Plantago erecta",59,15,0,0,0,99
2017,"W",17,"No Grass","Hemizonia congesta",14,15,0,3,3,32
2017,"W",17,"Grass","Hemizonia congesta",7,11,1,4,5,32
2017,"W",17,"Grass","Clarkia purpurea",8,8,2,6,8,30
2017,"W",17,"Thatch","Clarkia purpurea",13,14,1,11,12,30
2017,"W",17,"Thatch","Agoseris heterophylla",3,3,0,1,1,94
2017,"W",17,"Thatch","Hemizonia congesta",13,14,1,8,9,32
2017,"W",17,"No Grass","Agoseris heterophylla",20,15,0,0,0,94
2017,"W",17,"No Grass","Calycadenia pauciflora",11,11,0,1,1,31
2017,"W",17,"Grass","Agoseris heterophylla",21,15,0,0,0,94
2017,"W",17,"Thatch","Lasthenia californica",16,15,0,0,0,100
2017,"C",18,"Grass","Hemizonia congesta",22,16,0,8,8,32
2017,"C",18,"Thatch","Hemizonia congesta",18,19,4,10,14,32
2017,"C",18,"No Grass","Calycadenia pauciflora",15,15,2,13,15,31
2017,"C",18,"No Grass","Agoseris heterophylla",84,15,0,1,1,94
2017,"C",18,"No Grass","Lasthenia californica",99,15,0,0,0,100
2017,"C",18,"Grass","Lasthenia californica",50,15,0,0,0,100
2017,"C",18,"Thatch","Agoseris heterophylla",65,23,8,3,11,94
2017,"C",18,"Thatch","Lasthenia californica",16,16,1,1,2,100
2017,"C",18,"Grass","Agoseris heterophylla",63,15,0,1,1,94
2017,"C",18,"Grass","Clarkia purpurea",15,16,4,12,16,30
2017,"C",18,"No Grass","Hemizonia congesta",18,15,0,9,9,32
2017,"C",18,"No Grass","Clarkia purpurea",12,15,1,13,14,30
2017,"C",18,"No Grass","Plantago erecta",41,15,0,0,0,99
2017,"C",18,"Thatch","Clarkia purpurea",13,14,1,13,14,30
2017,"C",18,"Grass","Plantago erecta",45,15,0,0,0,99
2017,"C",18,"Grass","Calycadenia pauciflora",11,12,0,9,9,31
2017,"C",18,"Thatch","Calycadenia pauciflora",14,14,2,11,13,31
2017,"C",18,"Thatch","Plantago erecta",47,15,0,0,0,99
2017,"W",19,"Thatch","Hemizonia congesta",10,11,3,3,6,32
2017,"W",19,"Grass","Lasthenia californica",65,15,0,0,0,100
2017,"W",19,"Grass","Clarkia purpurea",17,17,2,8,10,30
2017,"W",19,"No Grass","Plantago erecta",78,15,0,0,0,99
2017,"W",19,"Thatch","Agoseris heterophylla",2,2,0,2,2,94
2017,"W",19,"No Grass","Clarkia purpurea",30,15,0,6,6,30
2017,"W",19,"Grass","Plantago erecta",67,15,0,0,0,99
2017,"W",19,"Grass","Hemizonia congesta",14,15,5,8,13,32
2017,"W",19,"Thatch","Clarkia purpurea",15,16,5,3,8,30
2017,"W",19,"Grass","Calycadenia pauciflora",11,11,1,2,3,31
2017,"W",19,"Thatch","Lasthenia californica",4,4,0,1,1,100
2017,"W",19,"Grass","Agoseris heterophylla",31,16,1,4,5,94
2017,"W",19,"No Grass","Lasthenia californica",37,15,0,0,0,100
2017,"W",19,"Thatch","Calycadenia pauciflora",2,3,2,0,2,31
2017,"W",19,"No Grass","Agoseris heterophylla",52,15,0,2,2,94
2017,"W",19,"Thatch","Plantago erecta",13,13,4,0,4,99
2017,"W",19,"No Grass","Calycadenia pauciflora",27,16,2,1,3,31
2017,"W",19,"No Grass","Hemizonia congesta",24,15,0,1,1,32
2017,"W",23,"Grass","Lasthenia californica",45,15,0,2,2,100
2017,"W",23,"Thatch","Clarkia purpurea",24,16,3,7,10,30
2017,"W",23,"Grass","Calycadenia pauciflora",28,15,1,6,7,31
2017,"W",23,"Grass","Clarkia purpurea",17,15,2,9,11,30
2017,"W",23,"Thatch","Plantago erecta",74,15,1,0,1,99
2017,"W",23,"Thatch","Agoseris heterophylla",5,5,4,0,4,94
2017,"W",23,"Thatch","Hemizonia congesta",21,15,5,5,10,32
2017,"W",23,"No Grass","Lasthenia californica",51,15,0,0,0,100
2017,"W",23,"No Grass","Hemizonia congesta",32,15,1,1,2,32
2017,"W",23,"Thatch","Lasthenia californica",5,5,2,1,3,100
2017,"W",23,"No Grass","Calycadenia pauciflora",12,15,1,3,4,31
2017,"W",23,"No Grass","Plantago erecta",87,15,1,0,1,99
2017,"W",23,"Thatch","Calycadenia pauciflora",5,5,0,3,3,31
2017,"W",23,"No Grass","Clarkia purpurea",30,15,0,2,2,30
2017,"W",23,"Grass","Plantago erecta",99,15,0,0,0,99
2017,"W",23,"No Grass","Agoseris heterophylla",75,17,5,1,6,94
2017,"W",23,"Grass","Agoseris heterophylla",84,15,0,6,6,94
2017,"W",23,"Grass","Hemizonia congesta",15,15,0,6,6,32
2017,"W",29,"Thatch","Lasthenia californica",11,11,2,4,6,100
2017,"W",29,"Thatch","Agoseris heterophylla",29,16,7,1,8,94
2017,"W",29,"No Grass","Calycadenia pauciflora",16,15,0,15,15,31
2017,"W",29,"No Grass","Hemizonia congesta",15,15,2,3,5,32
2017,"W",29,"Grass","Lasthenia californica",28,17,2,3,5,100
2017,"W",29,"No Grass","Clarkia purpurea",10,14,2,4,6,30
2017,"W",29,"No Grass","Agoseris heterophylla",94,15,0,0,0,94
2017,"W",29,"Grass","Plantago erecta",81,15,0,0,0,99
