"Species","Plot","Subplot","Treat.Code","Year","Date","flo.a","flo.b","flo.c","avg.flo","sd.flo","n.ind","avg.seed.inf","n.seed.ind","cov.g","p.viable"
"Agoseris heterophylla",29,"No Grass","W",2016,2016-04-24,4,1,14,1.4,0.547722557505166,5,45.4,63.56,NA,0.954436451
"Agoseris heterophylla",56,"No Grass","C",2016,2016-05-20,0,2,5,3,0.707106781186548,5,21.4,64.2,NA,0.954436451
"Agoseris heterophylla",5,"No Grass","W",2016,2016-04-24,2,5,14,1.6,0.547722557505166,5,56.7,90.72,NA,0.954436451
"Agoseris heterophylla",50,"No Grass","C",2016,2016-04-24,7,3,8,1.2,0.447213595499958,5,30.2222222222222,36.2666666666667,NA,0.954436451
"Agoseris heterophylla",30,"Grass","C",2016,2016-04-24,0,0,16,1,0,5,5,5,35,0.954436451
"Agoseris heterophylla",15,"Grass","W",2016,2016-05-20,0,0,5,1.4,0.894427190999916,5,62.2857142857143,87.2,25,0.954436451
"Agoseris heterophylla",92,"No Grass","C",2016,2016-04-24,8,10,1,1.6,0.894427190999916,5,45.6666666666667,73.0666666666667,NA,0.954436451
"Agoseris heterophylla",23,"Grass","W",2016,2016-04-24,3,5,5,1,0,5,31,31,30,0.954436451
"Agoseris heterophylla",5,"Grass","W",2016,2016-04-24,3,0,18,1,0,5,28.1666666666667,28.1666666666667,30,0.954436451
"Agoseris heterophylla",49,"No Grass","W",2016,2016-05-08,2,3,2,2,1,5,40,80,NA,0.954436451
"Agoseris heterophylla",19,"Grass","W",2016,2016-04-24,0,10,0,2.2,2.68328157299975,5,48.8888888888889,107.555555555556,30,0.954436451
"Agoseris heterophylla",98,"Grass","C",2016,2016-04-24,1,10,4,1,0,5,0,0,75,0.954436451
"Agoseris heterophylla",19,"No Grass","W",2016,2016-04-24,0,0,13,1.8,0.836660026534076,5,51.9285714285714,93.4714285714286,NA,0.954436451
"Agoseris heterophylla",84,"Grass","C",2016,2016-05-08,1,0,11,2.2,0.836660026534076,5,32.25,70.95,40,0.954436451
"Agoseris heterophylla",93,"Grass","D",2016,2016-04-24,4,8,8,1.4,0.547722557505166,5,35.4,49.56,25,0.954436451
"Agoseris heterophylla",30,"No Grass","C",2016,2016-05-08,0,1,15,2.8,1.30384048104053,5,26.3333333333333,73.7333333333333,NA,0.954436451
"Agoseris heterophylla",81,"No Grass","D",2016,2016-04-24,2,11,3,1.4,0.547722557505166,5,55.5882352941176,77.8235294117647,NA,0.954436451
"Agoseris heterophylla",96,"Grass","C",2016,2016-04-24,10,5,3,1.2,0.447213595499958,5,29.7142857142857,35.6571428571429,30,0.954436451
"Agoseris heterophylla",49,"Grass","W",2016,2016-04-24,1,7,1,1,0,5,NA,NA,90,0.954436451
"Agoseris heterophylla",37,"Grass","W",2016,2016-04-24,14,2,1,1.2,0.447213595499958,5,15,18,30,0.954436451
"Agoseris heterophylla",82,"Grass","C",2016,2016-04-24,3,9,5,1.2,0.447213595499958,5,30.875,37.05,10,0.954436451
"Agoseris heterophylla",23,"No Grass","W",2016,2016-04-24,10,3,6,1,0,5,42.7272727272727,42.7272727272727,NA,0.954436451
"Agoseris heterophylla",99,"Grass","D",2016,2016-04-24,0,5,1,1,0,5,0,0,90,0.954436451
"Agoseris heterophylla",17,"Grass","W",2016,2016-05-08,0,0,15,1,0,5,36.5714285714286,36.5714285714286,80,0.954436451
"Agoseris heterophylla",81,"Grass","D",2016,2016-04-24,0,1,7,1,0,5,18.6,18.6,80,0.954436451
"Agoseris heterophylla",18,"Grass","C",2016,2016-04-24,3,2,12,1,0,5,51,51,40,0.954436451
"Agoseris heterophylla",55,"No Grass","W",2016,2016-04-24,10,5,2,1,0,5,16.1111111111111,16.1111111111111,NA,0.954436451
"Agoseris heterophylla",95,"No Grass","D",2016,2016-04-24,5,10,6,1.2,0.447213595499958,5,39.6666666666667,47.6,NA,0.954436451
