Species,Plot,Subplot,Treat.Code,Year,Date,flo.a,flo.b,flo.c,avg.flo,sd.flo,n.ind,avg.seed.inf,n.seed.ind,cov.g,p.viable
Agoseris heterophylla,30,Grass,C,2017,5/19/17,0,0,5,1.4,0.547722558,5,18.58333333,26.01666667,75,0.954436451
Agoseris heterophylla,84,No Grass,C,2017,5/19/17,0,0,4,1.4,0.547722558,5,24.58333333,34.41666667,NA,0.954436451
Agoseris heterophylla,84,Grass,C,2017,5/19/17,0,0,4,1,0,4,24.375,24.375,50,0.954436451
Agoseris heterophylla,56,No Grass,C,2017,5/19/17,0,0,5,1.4,0.547722558,5,26,36.4,NA,0.954436451
Agoseris heterophylla,82,Thatch,C,2017,5/19/17,0,0,11,1.2,0.447213595,5,29.33333333,35.2,80,0.954436451
Agoseris heterophylla,30,Thatch,C,2017,5/19/17,0,0,1,1,0,5,10.5,10.5,50,0.954436451
Agoseris heterophylla,18,Thatch,C,2017,5/19/17,0,0,11,1.4,0.547722558,5,16,22.4,95,0.954436451
Agoseris heterophylla,50,No Grass,C,2017,5/19/17,0,0,7,1,0,5,12.33333333,12.33333333,NA,0.954436451
Agoseris heterophylla,56,Grass,C,2017,5/19/17,0,0,3,1,0,5,20.54545455,20.54545455,80,0.954436451
Agoseris heterophylla,18,No Grass,C,2017,5/19/17,0,0,13,1.4,0.547722558,5,20.25,28.35,NA,0.954436451
Agoseris heterophylla,50,Grass,C,2017,5/19/17,0,0,5,1,0,5,21.66666667,21.66666667,95,0.954436451
Agoseris heterophylla,56,Thatch,C,2017,5/19/17,0,0,10,1,0,5,15.66666667,15.66666667,55,0.954436451
Agoseris heterophylla,98,No Grass,C,2017,5/19/17,0,0,6,1,0,5,13.66666667,13.66666667,NA,0.954436451
Agoseris heterophylla,92,No Grass,C,2017,5/19/17,0,0,14,2,1,5,45.91666667,91.83333333,NA,0.954436451
Agoseris heterophylla,96,Thatch,C,2017,5/19/17,0,0,0,1,0,2,NA,NA,80,0.954436451
Agoseris heterophylla,82,No Grass,C,2017,5/19/17,0,0,7,2.2,0.447213595,5,26.33333333,57.93333333,NA,0.954436451
Agoseris heterophylla,92,Grass,C,2017,5/19/17,0,0,6,1,0,5,13,13,100,0.954436451
Agoseris heterophylla,50,Thatch,C,2017,5/19/17,0,0,4,1,0,5,10.16666667,10.16666667,80,0.954436451
Agoseris heterophylla,98,Grass,C,2017,5/19/17,0,0,2,1,0,5,17.77777778,17.77777778,80,0.954436451
Agoseris heterophylla,86,No Grass,C,2017,5/19/17,0,0,8,1,0,5,23.125,23.125,NA,0.954436451
Agoseris heterophylla,30,No Grass,C,2017,5/19/17,0,0,10,2.2,1.095445115,5,32.72222222,71.98888889,NA,0.954436451
Agoseris heterophylla,96,Grass,C,2017,5/19/17,0,0,6,1,0,5,41,41,25,0.954436451
Agoseris heterophylla,84,Thatch,C,2017,5/19/17,0,0,4,1,0,5,21.33333333,21.33333333,90,0.954436451
Agoseris heterophylla,18,Grass,C,2017,5/19/17,0,0,7,1,0,5,16.11111111,16.11111111,95,0.954436451
Agoseris heterophylla,86,Thatch,C,2017,5/19/17,0,0,4,1,0,5,14,14,45,0.954436451
Agoseris heterophylla,86,Grass,C,2017,5/19/17,0,0,8,2,1,5,20,40,40,0.954436451
Agoseris heterophylla,82,Grass,C,2017,5/19/17,0,0,11,1.6,0.547722558,5,57.5,92,45,0.954436451
Agoseris heterophylla,96,No Grass,C,2017,5/19/17,0,0,13,2.2,0.836660027,5,53.46153846,117.6153846,NA,0.954436451
Calycadenia pauciflora,92,Thatch,C,2017,8/21/17,0,0,2,5,2.828427125,2,3.428571429,17.14285714,80,0.4575
Calycadenia pauciflora,96,Grass,C,2017,6/26/17,0,0,0,3,NA,1,3.560008291,10.68002487,25,0.4575
Calycadenia pauciflora,92,Grass,C,2017,6/26/17,1,1,0,1.333333333,0.577350269,3,2,2.666666667,100,0.4575
Calycadenia pauciflora,96,No Grass,C,2017,8/21/17,0,0,2,2,NA,1,4,8,NA,0.4575
Calycadenia pauciflora,84,Grass,C,2017,8/21/17,0,0,3,19.4,15.75753788,5,3.5,67.9,50,0.4575
Calycadenia pauciflora,50,Grass,C,2017,8/21/17,0,0,7,5.6,5.319774431,5,5.125,28.7,95,0.4575
Calycadenia pauciflora,84,No Grass,C,2017,8/21/17,0,0,3,14.25,20.71030339,4,2.428571429,34.60714286,NA,0.4575
Calycadenia pauciflora,18,Thatch,C,2017,8/21/17,0,0,1,2,NA,1,4.5,9,95,0.4575
Calycadenia pauciflora,50,No Grass,C,2017,8/21/17,0,0,4,5.666666667,3.785938897,3,4.357142857,24.69047619,NA,0.4575
Calycadenia pauciflora,18,Grass,C,2017,8/21/17,0,0,3,3,1.732050808,3,3.75,11.25,95,0.4575
Calycadenia pauciflora,82,Grass,C,2017,8/21/17,0,0,3,11.33333333,3.785938897,3,5.153846154,58.41025641,45,0.4575
Calycadenia pauciflora,92,No Grass,C,2017,8/21/17,0,0,4,3.333333333,1.154700538,3,2.125,7.083333333,NA,0.4575
