"Species","gh_f","SLA","d13C","D13C"
"ACMO","F",199.994079115329,-30.476,23.1825101802534
"AGHE","F",413.554657287157,-31.78,24.5605337629877
"CAPA","F",54.5559523809524,-28.6,21.206506073708
"CETR","F",146.4,-30.07,22.754219376656
"CLPU","F",87.0447635697636,-29.412,22.0608538329343
"HECO","F",64.0496757628337,-28.01,20.5866315497073
"LACA","F",240.139899610623,-31.678,24.4526097723691
"MICA","F",259.904166666667,-30.636,23.3513932846691
"PLER","F",130.662559618025,-30.736,23.456973538685
"RILE","F",192.578571428571,-31.736,24.5139755273355
